Date,Day of Week,Visitor Type,Number of Visitors,Avg Stay Duration (hrs),Revenue Generated ($),Weather Condition
1/24/2024,Wednesday,RV Center,467,3.7,4217.01,Sunny
1/25/2024,Thursday,One-day visit,248,3,2951.2,Snowy
1/25/2024,Thursday,Camping,425,3.3,2465,Snowy
1/25/2024,Thursday,RV Center,299,5,5863.39,Snowy
1/26/2024,Friday,One-day visit,447,3.9,8720.97,Snowy
1/26/2024,Friday,Camping,366,2.8,3315.96,Snowy
1/26/2024,Friday,RV Center,393,3.9,4896.78,Snowy
1/27/2024,Saturday,One-day visit,438,4.5,5185.92,Cloudy
1/27/2024,Saturday,Camping,277,1.7,1833.74,Cloudy
1/27/2024,Saturday,RV Center,395,1.7,6288.4,Cloudy
1/28/2024,Sunday,One-day visit,337,3.8,6467.03,Sunny
1/28/2024,Sunday,Camping,337,1.7,5509.95,Sunny
1/28/2024,Sunday,RV Center,219,3,3545.61,Sunny
1/29/2024,Monday,One-day visit,491,2.2,7541.76,Cloudy
1/29/2024,Monday,Camping,100,4.6,1746,Cloudy
1/29/2024,Monday,RV Center,441,4.1,2487.24,Cloudy
1/30/2024,Tuesday,One-day visit,114,4.2,1500.24,Sunny
1/30/2024,Tuesday,Camping,316,2,2749.2,Sunny
1/30/2024,Tuesday,RV Center,97,1.7,950.6,Sunny
1/31/2024,Wednesday,One-day visit,317,1.9,3886.42,Snowy
1/31/2024,Wednesday,Camping,116,3,707.6,Snowy
1/31/2024,Wednesday,RV Center,165,1.3,1397.55,Snowy
2/1/2024,Thursday,One-day visit,204,1.7,2354.16,Snowy
2/1/2024,Thursday,Camping,138,3.6,2747.58,Snowy
2/1/2024,Thursday,RV Center,293,3.1,2525.66,Snowy
2/2/2024,Friday,One-day visit,285,2.6,4941.9,Sunny
2/2/2024,Friday,Camping,368,3.7,6988.32,Sunny
2/2/2024,Friday,RV Center,41,2.7,640.42,Sunny
2/3/2024,Saturday,One-day visit,441,2.9,8281.98,Stormy
2/3/2024,Saturday,Camping,491,2.6,8347,Stormy
2/3/2024,Saturday,RV Center,426,3.9,3987.36,Stormy
2/4/2024,Sunday,One-day visit,330,2.5,4408.8,Snowy
2/4/2024,Sunday,Camping,347,2.1,3834.35,Snowy
2/4/2024,Sunday,RV Center,306,4.3,2093.04,Snowy
2/5/2024,Monday,One-day visit,207,2,3326.49,Rainy
2/5/2024,Monday,Camping,323,3.2,3188.01,Rainy
2/5/2024,Monday,RV Center,389,3.2,5029.77,Rainy
2/6/2024,Tuesday,One-day visit,140,4.6,887.6,Rainy
2/6/2024,Tuesday,Camping,231,1.6,2723.49,Rainy
2/6/2024,Tuesday,RV Center,329,4.3,2993.9,Rainy
2/7/2024,Wednesday,One-day visit,261,1.4,1644.3,Snowy
2/7/2024,Wednesday,Camping,322,1.9,1787.1,Snowy
2/7/2024,Wednesday,RV Center,484,4.1,9428.32,Snowy
2/8/2024,Thursday,One-day visit,498,2.1,5702.1,Rainy
2/8/2024,Thursday,Camping,47,4.1,807.46,Rainy
2/8/2024,Thursday,RV Center,214,3.1,3456.1,Rainy
2/9/2024,Friday,One-day visit,422,1.3,7608.66,Cloudy
2/9/2024,Friday,Camping,248,2.2,1386.32,Cloudy
2/9/2024,Friday,RV Center,338,3.4,3224.52,Cloudy
2/10/2024,Saturday,One-day visit,403,1.1,4743.31,Stormy
2/10/2024,Saturday,Camping,173,1.6,2657.28,Stormy
2/10/2024,Saturday,RV Center,282,3.2,1892.22,Stormy
2/11/2024,Sunday,One-day visit,52,1.4,888.16,Snowy
2/11/2024,Sunday,Camping,363,3.1,6087.51,Snowy
2/11/2024,Sunday,RV Center,124,1.3,1696.32,Snowy
2/12/2024,Monday,One-day visit,366,2.3,7221.18,Snowy
2/12/2024,Monday,Camping,340,3.3,3032.8,Snowy
2/12/2024,Monday,RV Center,402,4.7,5008.92,Snowy
2/13/2024,Tuesday,One-day visit,168,1.5,1999.2,Stormy
2/13/2024,Tuesday,Camping,377,4.9,7457.06,Stormy
2/13/2024,Tuesday,RV Center,307,3.8,5022.52,Stormy
2/14/2024,Wednesday,One-day visit,476,3.6,4698.12,Stormy
2/14/2024,Wednesday,Camping,220,4.1,1199,Stormy
2/14/2024,Wednesday,RV Center,448,2.5,3082.24,Stormy
2/15/2024,Thursday,One-day visit,462,2.1,6625.08,Snowy
2/15/2024,Thursday,Camping,326,1.5,5910.38,Snowy
2/15/2024,Thursday,RV Center,108,4.7,1037.88,Snowy
2/16/2024,Friday,One-day visit,42,3.4,553.56,Cloudy
2/16/2024,Friday,Camping,404,2.4,6019.6,Cloudy
2/16/2024,Friday,RV Center,247,4.3,2751.58,Cloudy
2/17/2024,Saturday,One-day visit,386,4.6,6388.3,Stormy
2/17/2024,Saturday,Camping,262,4.1,2795.54,Stormy
2/17/2024,Saturday,RV Center,370,3.9,7100.3,Stormy
2/18/2024,Sunday,One-day visit,442,2.1,4424.42,Snowy
2/18/2024,Sunday,Camping,420,1.6,5510.4,Snowy
2/18/2024,Sunday,RV Center,15,2.1,281.4,Snowy
2/19/2024,Monday,One-day visit,373,2.6,2308.87,Sunny
2/19/2024,Monday,Camping,403,3.6,3232.06,Sunny
2/19/2024,Monday,RV Center,139,4,2679.92,Sunny
2/20/2024,Tuesday,One-day visit,438,4.6,4498.26,Rainy
2/20/2024,Tuesday,Camping,214,4.4,1692.74,Rainy
2/20/2024,Tuesday,RV Center,397,3,6038.37,Rainy
2/21/2024,Wednesday,One-day visit,270,4.3,4668.3,Cloudy
2/21/2024,Wednesday,Camping,248,2.6,1616.96,Cloudy
2/21/2024,Wednesday,RV Center,486,2.9,7848.9,Cloudy
2/22/2024,Thursday,One-day visit,117,3,1675.44,Stormy
2/22/2024,Thursday,Camping,450,4.6,2713.5,Stormy
2/22/2024,Thursday,RV Center,195,2.7,1497.6,Stormy
2/23/2024,Friday,One-day visit,375,3.7,3007.5,Sunny
2/23/2024,Friday,Camping,383,2.5,6894,Sunny
2/23/2024,Friday,RV Center,460,1.1,6886.2,Sunny
2/24/2024,Saturday,One-day visit,162,2,1757.7,Rainy
2/24/2024,Saturday,Camping,349,3.6,2010.24,Rainy
2/24/2024,Saturday,RV Center,422,3.6,7760.58,Rainy
2/25/2024,Sunday,One-day visit,368,4.9,7341.6,Cloudy
2/25/2024,Sunday,Camping,202,3,2270.48,Cloudy
2/25/2024,Sunday,RV Center,55,1.8,825.55,Cloudy
2/26/2024,Monday,One-day visit,469,4.5,5337.22,Snowy
2/26/2024,Monday,Camping,342,3.7,3611.52,Snowy
2/26/2024,Monday,RV Center,244,4.2,4130.92,Snowy
2/27/2024,Tuesday,One-day visit,420,3.1,6216,Snowy
2/27/2024,Tuesday,Camping,354,2.1,3355.92,Snowy
2/27/2024,Tuesday,RV Center,136,5,1327.36,Snowy
2/28/2024,Wednesday,One-day visit,206,1,1396.68,Sunny
2/28/2024,Wednesday,Camping,413,3.3,4076.31,Sunny
2/28/2024,Wednesday,RV Center,163,3.9,1874.5,Sunny
2/29/2024,Thursday,One-day visit,258,1.6,3255.96,Cloudy
2/29/2024,Thursday,Camping,80,2.6,1309.6,Cloudy
2/29/2024,Thursday,RV Center,287,4.3,1529.71,Cloudy
3/1/2024,Friday,One-day visit,132,3.8,813.12,Rainy
3/1/2024,Friday,Camping,163,4,1294.22,Rainy
3/1/2024,Friday,RV Center,261,2.9,1863.54,Rainy
3/2/2024,Saturday,One-day visit,270,4.3,2878.2,Stormy
3/2/2024,Saturday,Camping,121,3.6,1602.04,Stormy
3/2/2024,Saturday,RV Center,337,4.1,6493.99,Stormy
3/3/2024,Sunday,One-day visit,190,3.9,2724.6,Cloudy
3/3/2024,Sunday,Camping,78,3.5,506.22,Cloudy
3/3/2024,Sunday,RV Center,179,2.4,1118.75,Cloudy
3/4/2024,Monday,One-day visit,60,1.2,661.8,Rainy
3/4/2024,Monday,Camping,20,4.1,252.6,Rainy
3/4/2024,Monday,RV Center,393,3.8,5749.59,Rainy
3/5/2024,Tuesday,One-day visit,385,4.5,2021.25,Cloudy
3/5/2024,Tuesday,Camping,61,2.3,789.34,Cloudy
3/5/2024,Tuesday,RV Center,498,1.1,6170.22,Cloudy
3/6/2024,Wednesday,One-day visit,324,3.2,3009.96,Snowy
3/6/2024,Wednesday,Camping,42,3.4,778.26,Snowy
3/6/2024,Wednesday,RV Center,485,3,2895.45,Snowy
3/7/2024,Thursday,One-day visit,276,3.8,2376.36,Rainy
3/7/2024,Thursday,Camping,435,3.7,2575.2,Rainy
3/7/2024,Thursday,RV Center,217,2.7,3276.7,Rainy
3/8/2024,Friday,One-day visit,156,1.6,984.36,Rainy
3/8/2024,Friday,Camping,462,2.4,5072.76,Rainy
3/8/2024,Friday,RV Center,463,4.3,3879.94,Rainy
3/9/2024,Saturday,One-day visit,125,3.9,1085,Sunny
3/9/2024,Saturday,Camping,133,3.4,2480.45,Sunny
3/9/2024,Saturday,RV Center,334,1.7,4265.18,Sunny
3/10/2024,Sunday,One-day visit,173,2.4,2183.26,Rainy
3/10/2024,Sunday,Camping,380,3.8,3264.2,Rainy
3/10/2024,Sunday,RV Center,243,3.5,1907.55,Rainy
3/11/2024,Monday,One-day visit,44,1.1,809.16,Cloudy
3/11/2024,Monday,Camping,203,3,3353.56,Cloudy
3/11/2024,Monday,RV Center,374,1.2,4091.56,Cloudy
3/12/2024,Tuesday,One-day visit,156,4.7,2775.24,Rainy
3/12/2024,Tuesday,Camping,315,2.7,5380.2,Rainy
3/12/2024,Tuesday,RV Center,463,3.5,7533.01,Rainy
3/13/2024,Wednesday,One-day visit,266,4.8,4431.56,Rainy
3/13/2024,Wednesday,Camping,73,3.2,545.31,Rainy
3/13/2024,Wednesday,RV Center,313,1.8,2162.83,Rainy
3/14/2024,Thursday,One-day visit,110,2.8,2183.5,Sunny
3/14/2024,Thursday,Camping,367,1.8,7028.05,Sunny
3/14/2024,Thursday,RV Center,328,5,3542.4,Sunny
3/15/2024,Friday,One-day visit,453,1.2,7066.8,Snowy
3/15/2024,Friday,Camping,222,2.5,1627.26,Snowy
3/15/2024,Friday,RV Center,222,1.4,1744.92,Snowy
3/16/2024,Saturday,One-day visit,430,1.2,2984.2,Sunny
3/16/2024,Saturday,Camping,123,4.5,781.05,Sunny
3/16/2024,Saturday,RV Center,281,2.2,3869.37,Sunny
3/17/2024,Sunday,One-day visit,243,3.3,3834.54,Rainy
3/17/2024,Sunday,Camping,404,4.6,2145.24,Rainy
3/17/2024,Sunday,RV Center,34,1.1,592.28,Rainy
3/18/2024,Monday,One-day visit,353,1.1,2714.57,Rainy
3/18/2024,Monday,Camping,96,3.4,1814.4,Rainy
3/18/2024,Monday,RV Center,124,2.9,2052.2,Rainy
3/19/2024,Tuesday,One-day visit,390,1.1,2566.2,Stormy
3/19/2024,Tuesday,Camping,350,4.4,2562,Stormy
3/19/2024,Tuesday,RV Center,179,2,1270.9,Stormy
3/20/2024,Wednesday,One-day visit,414,1.6,8031.6,Rainy
3/20/2024,Wednesday,Camping,316,3.7,4496.68,Rainy
3/20/2024,Wednesday,RV Center,111,2.3,997.89,Rainy
3/21/2024,Thursday,One-day visit,174,3.4,3339.06,Sunny
3/21/2024,Thursday,Camping,31,4.5,379.44,Sunny
3/21/2024,Thursday,RV Center,396,4.5,7868.52,Sunny
3/22/2024,Friday,One-day visit,140,5,1108.8,Snowy
3/22/2024,Friday,Camping,142,4.1,2638.36,Snowy
3/22/2024,Friday,RV Center,362,4.6,1958.42,Snowy
3/23/2024,Saturday,One-day visit,83,2.9,1070.7,Stormy
3/23/2024,Saturday,Camping,133,4.9,2388.68,Stormy
3/23/2024,Saturday,RV Center,19,4.1,242.25,Stormy
3/24/2024,Sunday,One-day visit,185,3.1,3006.25,Rainy
3/24/2024,Sunday,Camping,361,4.9,5812.1,Rainy
3/24/2024,Sunday,RV Center,85,1.5,1354.9,Rainy
3/25/2024,Monday,One-day visit,321,2.4,5916.03,Snowy
3/25/2024,Monday,Camping,102,4.9,1393.32,Snowy
3/25/2024,Monday,RV Center,191,3.9,3613.72,Snowy
3/26/2024,Tuesday,One-day visit,440,3.9,5288.8,Rainy
3/26/2024,Tuesday,Camping,359,3.8,6418.92,Rainy
3/26/2024,Tuesday,RV Center,442,1.8,7973.68,Rainy
3/27/2024,Wednesday,One-day visit,50,4.2,533.5,Snowy
3/27/2024,Wednesday,Camping,47,2.2,704.53,Snowy
3/27/2024,Wednesday,RV Center,46,3.5,524.4,Snowy
3/28/2024,Thursday,One-day visit,110,1.2,776.6,Stormy
3/28/2024,Thursday,Camping,387,2.1,2341.35,Stormy
3/28/2024,Thursday,RV Center,18,2.9,346.68,Stormy
3/29/2024,Friday,One-day visit,176,2.8,2912.8,Stormy
3/29/2024,Friday,Camping,192,2.6,2580.48,Stormy
3/29/2024,Friday,RV Center,297,2.7,2750.22,Stormy
3/30/2024,Saturday,One-day visit,37,1.3,586.45,Stormy
3/30/2024,Saturday,Camping,408,1.3,7878.48,Stormy
3/30/2024,Saturday,RV Center,87,1.8,1535.55,Stormy
3/31/2024,Sunday,One-day visit,454,1.9,5647.76,Sunny
3/31/2024,Sunday,Camping,168,3.2,1848,Sunny
3/31/2024,Sunday,RV Center,292,3,4242.76,Sunny
4/1/2024,Monday,One-day visit,258,2.7,2861.22,Sunny
4/1/2024,Monday,Camping,486,2.4,8470.98,Sunny
4/1/2024,Monday,RV Center,269,2.3,1605.93,Sunny
4/2/2024,Tuesday,One-day visit,240,2.7,3636,Stormy
4/2/2024,Tuesday,Camping,403,3.1,7431.32,Stormy
4/2/2024,Tuesday,RV Center,175,3.5,1996.75,Stormy
4/3/2024,Wednesday,One-day visit,360,2.7,5389.2,Stormy
4/3/2024,Wednesday,Camping,216,1.4,1933.2,Stormy
4/3/2024,Wednesday,RV Center,127,1.3,1153.16,Stormy
4/4/2024,Thursday,One-day visit,285,2.3,1775.55,Snowy
4/4/2024,Thursday,Camping,429,4.7,5233.8,Snowy
4/4/2024,Thursday,RV Center,236,2.2,2437.88,Snowy
4/5/2024,Friday,One-day visit,306,2.8,2836.62,Stormy
4/5/2024,Friday,Camping,81,3.7,752.49,Stormy
4/5/2024,Friday,RV Center,376,1.2,7512.48,Stormy
4/6/2024,Saturday,One-day visit,424,4.3,5049.84,Cloudy
4/6/2024,Saturday,Camping,279,1,4168.26,Cloudy
4/6/2024,Saturday,RV Center,282,4.5,3775.98,Cloudy
4/7/2024,Sunday,One-day visit,470,2.9,8417.7,Rainy
4/7/2024,Sunday,Camping,80,4.8,1362.4,Rainy
4/7/2024,Sunday,RV Center,198,4.1,1681.02,Rainy
4/8/2024,Monday,One-day visit,74,3.3,1416.36,Sunny
4/8/2024,Monday,Camping,139,1.6,797.86,Sunny
4/8/2024,Monday,RV Center,437,5,5091.05,Sunny
4/9/2024,Tuesday,One-day visit,23,1.7,265.42,Rainy
4/9/2024,Tuesday,Camping,241,2.7,1470.1,Rainy
4/9/2024,Tuesday,RV Center,302,1.7,3059.26,Rainy
4/10/2024,Wednesday,One-day visit,150,3.5,2820,Rainy
4/10/2024,Wednesday,Camping,273,3.8,4490.85,Rainy
4/10/2024,Wednesday,RV Center,375,1.4,5006.25,Rainy
4/11/2024,Thursday,One-day visit,496,1,8863.52,Rainy
4/11/2024,Thursday,Camping,220,1.7,3084.4,Rainy
4/11/2024,Thursday,RV Center,338,5,5276.18,Rainy
4/12/2024,Friday,One-day visit,419,1.9,6285,Rainy
4/12/2024,Friday,Camping,317,1.3,3493.34,Rainy
4/12/2024,Friday,RV Center,167,3.2,3031.05,Rainy
4/13/2024,Saturday,One-day visit,199,2.1,1796.97,Stormy
4/13/2024,Saturday,Camping,194,2,3230.1,Stormy
4/13/2024,Saturday,RV Center,210,3.5,1520.4,Stormy
4/14/2024,Sunday,One-day visit,437,1.2,5868.91,Sunny
4/14/2024,Sunday,Camping,22,4.3,207.24,Sunny
4/14/2024,Sunday,RV Center,376,2.2,4260.08,Sunny
4/15/2024,Monday,One-day visit,472,2,6343.68,Stormy
4/15/2024,Monday,Camping,445,2.5,7102.2,Stormy
4/15/2024,Monday,RV Center,251,4.5,2462.31,Stormy
4/16/2024,Tuesday,One-day visit,189,4.5,1670.76,Cloudy
4/16/2024,Tuesday,Camping,456,3.3,6165.12,Cloudy
4/16/2024,Tuesday,RV Center,90,2.5,1669.5,Cloudy
4/17/2024,Wednesday,One-day visit,55,3.8,287.1,Sunny
4/17/2024,Wednesday,Camping,328,3.8,5051.2,Sunny
4/17/2024,Wednesday,RV Center,109,1.4,1308,Sunny
4/18/2024,Thursday,One-day visit,23,4.4,271.17,Snowy
4/18/2024,Thursday,Camping,304,1.6,3955.04,Snowy
4/18/2024,Thursday,RV Center,295,3.7,3094.55,Snowy
4/19/2024,Friday,One-day visit,257,4.9,3389.83,Stormy
4/19/2024,Friday,Camping,188,2.1,1372.4,Stormy
4/19/2024,Friday,RV Center,92,2.5,1823.44,Stormy
4/20/2024,Saturday,One-day visit,77,1.9,902.44,Stormy
4/20/2024,Saturday,Camping,275,3.1,1446.5,Stormy
4/20/2024,Saturday,RV Center,325,2.1,2002,Stormy
4/21/2024,Sunday,One-day visit,283,1.3,4117.65,Rainy
4/21/2024,Sunday,Camping,383,3.1,3768.72,Rainy
4/21/2024,Sunday,RV Center,464,2.1,6417.12,Rainy
4/22/2024,Monday,One-day visit,421,4.2,7801.13,Sunny
4/22/2024,Monday,Camping,290,2.3,3306,Sunny
4/22/2024,Monday,RV Center,204,1.6,2388.84,Sunny
4/23/2024,Tuesday,One-day visit,494,4.4,8076.9,Stormy
4/23/2024,Tuesday,Camping,487,1.9,7699.47,Stormy
4/23/2024,Tuesday,RV Center,262,1.8,2478.52,Stormy
4/24/2024,Wednesday,One-day visit,109,4.3,1980.53,Rainy
4/24/2024,Wednesday,Camping,181,3.1,2803.69,Rainy
4/24/2024,Wednesday,RV Center,85,1,1119.45,Rainy
4/25/2024,Thursday,One-day visit,428,2.6,6732.44,Snowy
4/25/2024,Thursday,Camping,397,4.1,2183.5,Snowy
4/25/2024,Thursday,RV Center,335,2.5,2958.05,Snowy
4/26/2024,Friday,One-day visit,168,2.4,1070.16,Stormy
4/26/2024,Friday,Camping,308,1.5,5146.68,Stormy
4/26/2024,Friday,RV Center,120,1.1,1305.6,Stormy
4/27/2024,Saturday,One-day visit,286,1.3,4078.36,Snowy
4/27/2024,Saturday,Camping,485,3.3,7008.25,Snowy
4/27/2024,Saturday,RV Center,41,3.8,477.24,Snowy
4/28/2024,Sunday,One-day visit,419,4.8,6988.92,Sunny
4/28/2024,Sunday,Camping,197,1.9,2966.82,Sunny
4/28/2024,Sunday,RV Center,435,4.7,2209.8,Sunny
4/29/2024,Monday,One-day visit,32,1.9,449.92,Stormy
4/29/2024,Monday,Camping,325,2.7,3373.5,Stormy
4/29/2024,Monday,RV Center,134,3.8,2444.16,Stormy
4/30/2024,Tuesday,One-day visit,223,4.6,3770.93,Stormy
4/30/2024,Tuesday,Camping,296,2.3,2764.64,Stormy
4/30/2024,Tuesday,RV Center,334,3.8,2822.3,Stormy
5/1/2024,Wednesday,One-day visit,385,4.3,4119.5,Snowy
5/1/2024,Wednesday,Camping,383,3,4350.88,Snowy
5/1/2024,Wednesday,RV Center,295,1.4,2044.35,Snowy
5/2/2024,Thursday,One-day visit,140,1.9,2004.8,Stormy
5/2/2024,Thursday,Camping,492,3.9,3330.84,Stormy
5/2/2024,Thursday,RV Center,138,4.5,1907.16,Stormy
5/3/2024,Friday,One-day visit,140,2.6,1569.4,Rainy
5/3/2024,Friday,Camping,461,5,8298,Rainy
5/3/2024,Friday,RV Center,423,4.9,3396.69,Rainy
5/4/2024,Saturday,One-day visit,450,5,8302.5,Sunny
5/4/2024,Saturday,Camping,436,2.3,5903.44,Sunny
5/4/2024,Saturday,RV Center,257,3.4,4836.74,Sunny
5/5/2024,Sunday,One-day visit,58,3.8,406,Snowy
5/5/2024,Sunday,Camping,391,4.6,2912.95,Snowy
5/5/2024,Sunday,RV Center,126,1.3,753.48,Snowy
5/6/2024,Monday,One-day visit,498,4.7,3889.38,Sunny
5/6/2024,Monday,Camping,100,1.3,620,Sunny
5/6/2024,Monday,RV Center,294,4.5,3722.04,Sunny
5/7/2024,Tuesday,One-day visit,249,4.6,2898.36,Stormy
5/7/2024,Tuesday,Camping,373,4,5169.78,Stormy
5/7/2024,Tuesday,RV Center,81,3.5,1591.65,Stormy
5/8/2024,Wednesday,One-day visit,395,1.6,7161.35,Cloudy
5/8/2024,Wednesday,Camping,50,4.3,405,Cloudy
5/8/2024,Wednesday,RV Center,76,2.6,1080.72,Cloudy
5/9/2024,Thursday,One-day visit,334,3.1,5514.34,Rainy
5/9/2024,Thursday,Camping,24,4.8,472.8,Rainy
5/9/2024,Thursday,RV Center,393,4.1,4519.5,Rainy
5/10/2024,Friday,One-day visit,411,3.9,7434.99,Rainy
5/10/2024,Friday,Camping,160,4.4,2801.6,Rainy
5/10/2024,Friday,RV Center,135,5,2110.05,Rainy
5/11/2024,Saturday,One-day visit,421,4.2,8112.67,Sunny
5/11/2024,Saturday,Camping,462,4.5,7456.68,Sunny
5/11/2024,Saturday,RV Center,257,1.1,3084,Sunny
5/12/2024,Sunday,One-day visit,376,2.1,2635.76,Sunny
5/12/2024,Sunday,Camping,302,1.9,1920.72,Sunny
5/12/2024,Sunday,RV Center,223,4.7,2339.27,Sunny
5/13/2024,Monday,One-day visit,245,1.5,1876.7,Sunny
5/13/2024,Monday,Camping,457,1.1,8614.45,Sunny
5/13/2024,Monday,RV Center,90,4,1595.7,Sunny
5/14/2024,Tuesday,One-day visit,500,2.3,8995,Rainy
5/14/2024,Tuesday,Camping,404,1.4,2076.56,Rainy
5/14/2024,Tuesday,RV Center,73,4.9,575.24,Rainy
5/15/2024,Wednesday,One-day visit,396,1.2,5567.76,Snowy
5/15/2024,Wednesday,Camping,325,4.7,5720,Snowy
5/15/2024,Wednesday,RV Center,344,2,2236,Snowy
5/16/2024,Thursday,One-day visit,398,3,6702.32,Rainy
5/16/2024,Thursday,Camping,277,3.8,4373.83,Rainy
5/16/2024,Thursday,RV Center,266,1.7,1909.88,Rainy
5/17/2024,Friday,One-day visit,63,4,389.34,Sunny
5/17/2024,Friday,Camping,322,1.8,6388.48,Sunny
5/17/2024,Friday,RV Center,462,3.2,8791.86,Sunny
5/18/2024,Saturday,One-day visit,403,4.5,7435.35,Sunny
5/18/2024,Saturday,Camping,315,2.3,2857.05,Sunny
5/18/2024,Saturday,RV Center,486,1.1,3703.32,Sunny
5/19/2024,Sunday,One-day visit,350,1.3,4714.5,Sunny
5/19/2024,Sunday,Camping,446,4.5,2586.8,Sunny
5/19/2024,Sunday,RV Center,41,1.9,480.52,Sunny
5/20/2024,Monday,One-day visit,37,2.6,193.14,Sunny
5/20/2024,Monday,Camping,479,3.2,3127.87,Sunny
5/20/2024,Monday,RV Center,352,4.9,5586.24,Sunny
5/21/2024,Tuesday,One-day visit,275,3.8,4611.75,Snowy
5/21/2024,Tuesday,Camping,138,2.1,1070.88,Snowy
